ticket_id,gold_category,gold_priority,gold_summary
T000095,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000096,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000097,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000098,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000099,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000100,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000101,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000102,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000103,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000104,refund,high,Customer requests update on refund amount and processing time.
T000105,refund,medium,Customer requests update on refund amount and processing time.
T000106,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000107,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000108,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000109,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000110,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000111,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000112,refund,low,Customer requests update on refund amount and processing time.
T000113,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000114,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000115,refund,low,Customer requests update on refund amount and processing time.
T000116,refund,urgent,Customer requests update on refund amount and processing time.
T000117,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000118,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000119,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000120,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000121,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000122,billing,low,Customer reports billing discrepancy or missing invoice details.
T000123,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000124,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000125,refund,medium,Customer requests update on refund amount and processing time.
T000126,refund,low,Customer requests update on refund amount and processing time.
T000127,billing,high,Customer reports billing discrepancy or missing invoice details.
T000128,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000129,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000130,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000131,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000132,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000133,refund,high,Customer requests update on refund amount and processing time.
T000134,refund,high,Customer requests update on refund amount and processing time.
T000135,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000136,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000137,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000138,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000139,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000140,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000141,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000142,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000143,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000144,refund,low,Customer requests update on refund amount and processing time.
T000145,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000146,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000147,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000148,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000149,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000150,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000151,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000152,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000153,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000154,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000155,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000156,refund,urgent,Customer requests update on refund amount and processing time.
T000157,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000158,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000159,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000160,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000161,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000162,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000163,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000164,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000165,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000166,billing,low,Customer reports billing discrepancy or missing invoice details.
T000167,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000168,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000169,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000170,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000171,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000172,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000173,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000174,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000175,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000176,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000177,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000178,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000179,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000180,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000181,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000182,billing,low,Customer reports billing discrepancy or missing invoice details.
T000183,refund,high,Customer requests update on refund amount and processing time.
T000184,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000185,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000186,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000187,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000188,billing,high,Customer reports billing discrepancy or missing invoice details.
T000189,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000190,refund,medium,Customer requests update on refund amount and processing time.
T000191,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000192,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000193,billing,low,Customer reports billing discrepancy or missing invoice details.
T000194,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000195,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000196,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000197,billing,low,Customer reports billing discrepancy or missing invoice details.
T000198,billing,high,Customer reports billing discrepancy or missing invoice details.
T000199,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000200,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000201,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000202,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000203,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000204,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000205,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000206,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000207,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000208,refund,high,Customer requests update on refund amount and processing time.
T000209,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000210,refund,medium,Customer requests update on refund amount and processing time.
T000211,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000212,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000213,refund,high,Customer requests update on refund amount and processing time.
T000214,billing,low,Customer reports billing discrepancy or missing invoice details.
T000215,refund,high,Customer requests update on refund amount and processing time.
T000216,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000217,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000218,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000219,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000220,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000221,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000222,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000223,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000224,refund,medium,Customer requests update on refund amount and processing time.
T000225,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000226,refund,low,Customer requests update on refund amount and processing time.
T000227,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000228,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000229,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000230,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000231,refund,medium,Customer requests update on refund amount and processing time.
T000232,billing,low,Customer reports billing discrepancy or missing invoice details.
T000233,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000234,billing,high,Customer reports billing discrepancy or missing invoice details.
T000235,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000236,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000237,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000238,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000239,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000240,refund,high,Customer requests update on refund amount and processing time.
T000241,refund,low,Customer requests update on refund amount and processing time.
T000242,refund,medium,Customer requests update on refund amount and processing time.
T000243,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000244,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000245,billing,low,Customer reports billing discrepancy or missing invoice details.
T000246,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000247,refund,urgent,Customer requests update on refund amount and processing time.
T000248,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000249,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000250,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000251,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000252,refund,high,Customer requests update on refund amount and processing time.
T000253,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000254,refund,low,Customer requests update on refund amount and processing time.
T000255,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000256,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000257,refund,high,Customer requests update on refund amount and processing time.
T000258,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000259,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000260,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000261,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000262,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000263,billing,low,Customer reports billing discrepancy or missing invoice details.
T000264,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000265,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000266,refund,urgent,Customer requests update on refund amount and processing time.
T000267,refund,low,Customer requests update on refund amount and processing time.
T000268,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000269,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000270,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000271,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000272,refund,high,Customer requests update on refund amount and processing time.
T000273,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000274,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000275,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000276,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000277,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000278,refund,high,Customer requests update on refund amount and processing time.
T000279,billing,low,Customer reports billing discrepancy or missing invoice details.
T000280,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000281,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000282,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000283,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000284,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000285,refund,high,Customer requests update on refund amount and processing time.
T000286,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000287,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000288,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000289,refund,medium,Customer requests update on refund amount and processing time.
T000290,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000291,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000292,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000293,billing,high,Customer reports billing discrepancy or missing invoice details.
T000294,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000295,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000296,billing,low,Customer reports billing discrepancy or missing invoice details.
T000297,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000298,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000299,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000300,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000301,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000302,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000303,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000304,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000305,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000306,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000307,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000308,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000309,billing,low,Customer reports billing discrepancy or missing invoice details.
T000310,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000311,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000312,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000313,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000314,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000315,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000316,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000317,refund,low,Customer requests update on refund amount and processing time.
T000318,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000319,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000320,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000321,refund,low,Customer requests update on refund amount and processing time.
T000322,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000323,refund,high,Customer requests update on refund amount and processing time.
T000324,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000325,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000326,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000327,billing,low,Customer reports billing discrepancy or missing invoice details.
T000328,refund,urgent,Customer requests update on refund amount and processing time.
T000329,refund,high,Customer requests update on refund amount and processing time.
T000330,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000331,refund,high,Customer requests update on refund amount and processing time.
T000332,refund,medium,Customer requests update on refund amount and processing time.
T000333,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000334,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000335,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000336,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000337,billing,medium,Customer reports billing discrepancy or missing invoice details.
T000338,refund,urgent,Customer requests update on refund amount and processing time.
T000339,billing,high,Customer reports billing discrepancy or missing invoice details.
T000340,warranty,high,Customer asks whether product issue is covered under warranty terms.
T000341,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000342,refund,low,Customer requests update on refund amount and processing time.
T000343,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000344,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000345,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000346,refund,urgent,Customer requests update on refund amount and processing time.
T000347,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000348,refund,medium,Customer requests update on refund amount and processing time.
T000349,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000350,refund,high,Customer requests update on refund amount and processing time.
T000351,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000352,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000353,billing,high,Customer reports billing discrepancy or missing invoice details.
T000354,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000355,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000356,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000357,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000358,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000359,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000360,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000361,product_question,high,"Customer needs clarification on specifications, accessories, or compatibility."
T000362,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000363,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000364,return_request,medium,"Customer wants to know eligibility, label generation, and return steps."
T000365,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000366,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000367,return_request,high,"Customer wants to know eligibility, label generation, and return steps."
T000368,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000369,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000370,billing,high,Customer reports billing discrepancy or missing invoice details.
T000371,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000372,refund,low,Customer requests update on refund amount and processing time.
T000373,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000374,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000375,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000376,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000377,product_question,medium,"Customer needs clarification on specifications, accessories, or compatibility."
T000378,warranty,medium,Customer asks whether product issue is covered under warranty terms.
T000379,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000380,technical_issue,high,Customer reports malfunction after setup and requests troubleshooting guidance.
T000381,technical_issue,urgent,Customer reports malfunction after setup and requests troubleshooting guidance.
T000382,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000383,delivery_issue,medium,Customer indicates tracking has not moved or estimated delivery is unclear.
T000384,warranty,low,Customer asks whether product issue is covered under warranty terms.
T000385,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000386,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000387,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000388,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000389,billing,urgent,Customer reports billing discrepancy or missing invoice details.
T000390,technical_issue,low,Customer reports malfunction after setup and requests troubleshooting guidance.
T000391,refund,medium,Customer requests update on refund amount and processing time.
T000392,refund,high,Customer requests update on refund amount and processing time.
T000393,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000394,refund,high,Customer requests update on refund amount and processing time.
T000395,product_question,low,"Customer needs clarification on specifications, accessories, or compatibility."
T000396,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000397,return_request,urgent,"Customer wants to know eligibility, label generation, and return steps."
T000398,delivery_issue,urgent,Customer indicates tracking has not moved or estimated delivery is unclear.
T000399,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000400,refund,urgent,Customer requests update on refund amount and processing time.
T000401,product_question,urgent,"Customer needs clarification on specifications, accessories, or compatibility."
T000402,return_request,low,"Customer wants to know eligibility, label generation, and return steps."
T000403,delivery_issue,low,Customer indicates tracking has not moved or estimated delivery is unclear.
T000404,delivery_issue,high,Customer indicates tracking has not moved or estimated delivery is unclear.
T000405,technical_issue,medium,Customer reports malfunction after setup and requests troubleshooting guidance.
T000406,warranty,urgent,Customer asks whether product issue is covered under warranty terms.
T000407,billing,low,Customer reports billing discrepancy or missing invoice details.
