ticket_id,customer_id,order_id,ticket_channel,ticket_type,priority,status,created_at,resolved_at,subject,description,assigned_team,resolution_summary
T000048,C00490,O000910,web_form,return_request,low,open,2026-02-10 01:37:09,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",logistics,
T000049,C00252,O000233,chat,technical_issue,high,resolved,2025-12-15 11:19:39,2025-12-17 19:19:39,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,billing,Validated warranty and requested diagnostic evidence.
T000050,C00117,,email,billing,high,resolved,2025-08-07 01:26:56,2025-08-11 01:26:56,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,logistics,Clarified invoice and resent billing document.
T000051,C00286,,phone,technical_issue,medium,open,2025-08-25 06:08:02,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,customer_care,
T000052,C00267,O001182,email,delivery_issue,high,closed,2025-02-09 05:49:18,2025-02-09 13:49:18,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,customer_care,Provided policy details and next steps.
T000053,C00347,O000441,web_form,return_request,high,open,2025-03-22 18:43:58,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",logistics,
T000054,C00040,O001298,chat,delivery_issue,high,resolved,2025-07-12 19:42:58,2025-07-14 02:42:58,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,customer_care,Validated warranty and requested diagnostic evidence.
T000055,C00294,,web_form,technical_issue,medium,pending_customer,2026-02-03 03:06:36,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,customer_care,
T000056,C00311,,phone,return_request,medium,pending_customer,2025-12-31 07:45:12,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",returns,
T000057,C00254,O000548,chat,delivery_issue,low,new,2025-03-22 11:33:19,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,billing,
T000058,C00375,,web_form,refund,medium,closed,2025-09-19 19:43:06,2025-09-20 01:43:06,Refund request for recent order,Customer requests update on refund amount and processing time.,customer_care,Shared shipment update and opened carrier claim.
T000059,C00340,,phone,delivery_issue,urgent,open,2025-02-16 21:19:49,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,customer_care,
T000060,C00313,O000352,web_form,product_question,low,closed,2025-09-05 18:20:20,2025-09-06 09:20:20,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",billing,Validated warranty and requested diagnostic evidence.
T000061,C00163,,web_form,billing,urgent,new,2025-11-26 10:01:54,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,logistics,
T000062,C00262,O000919,web_form,return_request,low,resolved,2025-06-16 08:35:20,2025-06-18 20:35:20,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",technical_support,Provided policy details and next steps.
T000063,C00496,O001422,email,delivery_issue,urgent,new,2026-03-20 07:17:02,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,
T000064,C00442,O001003,email,technical_issue,low,resolved,2025-01-01 19:24:28,2025-01-05 12:24:28,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,logistics,Shared shipment update and opened carrier claim.
T000065,C00397,O000567,phone,technical_issue,high,pending_customer,2025-11-26 05:56:48,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,logistics,
T000066,C00486,O001433,email,billing,medium,pending_customer,2025-08-14 10:06:33,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,returns,
T000067,C00216,,phone,product_question,urgent,pending_customer,2025-02-01 01:25:21,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",billing,
T000068,C00391,,web_form,return_request,high,resolved,2025-03-10 02:27:45,2025-03-13 18:27:45,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",returns,Clarified invoice and resent billing document.
T000069,C00092,O001479,chat,billing,medium,resolved,2025-05-31 05:25:52,2025-06-04 02:25:52,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,technical_support,Clarified invoice and resent billing document.
T000070,C00014,O000424,web_form,return_request,high,closed,2026-01-25 07:10:40,2026-01-27 23:10:40,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",billing,Issued refund after return inspection.
T000071,C00168,O001421,web_form,product_question,high,open,2025-08-11 21:04:39,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",logistics,
T000072,C00489,O000421,email,refund,low,resolved,2025-07-22 11:04:16,2025-07-26 14:04:16,Refund request for recent order,Customer requests update on refund amount and processing time.,logistics,Shared shipment update and opened carrier claim.
T000073,C00190,O000156,chat,delivery_issue,medium,open,2025-12-24 16:14:47,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,
T000074,C00355,O001497,email,billing,high,open,2025-07-05 06:31:56,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,billing,
T000075,C00051,O001168,chat,warranty,urgent,closed,2025-12-11 11:57:56,2025-12-12 20:57:56,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,technical_support,Shared shipment update and opened carrier claim.
T000076,C00225,O000413,chat,delivery_issue,low,resolved,2025-07-16 16:40:31,2025-07-19 10:40:31,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,Provided policy details and next steps.
T000077,C00162,O001467,web_form,refund,high,new,2025-07-18 02:48:24,,Refund request for recent order,Customer requests update on refund amount and processing time.,customer_care,
T000078,C00307,O000797,web_form,technical_issue,medium,pending_customer,2025-07-05 20:39:58,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,logistics,
T000079,C00259,O000402,web_form,return_request,urgent,resolved,2025-06-07 17:26:00,2025-06-09 04:26:00,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",returns,Clarified invoice and resent billing document.
T000080,C00298,O000307,phone,delivery_issue,low,resolved,2025-11-06 13:39:01,2025-11-09 11:39:01,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,Shared shipment update and opened carrier claim.
T000081,C00053,,web_form,product_question,high,closed,2025-12-03 20:26:26,2025-12-06 20:26:26,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",logistics,Shared shipment update and opened carrier claim.
T000082,C00414,,chat,delivery_issue,urgent,open,2026-01-17 11:47:52,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,returns,
T000083,C00069,O001237,email,billing,urgent,open,2025-10-07 13:11:33,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,returns,
T000084,C00342,O000428,phone,warranty,medium,closed,2025-11-10 16:46:46,2025-11-10 23:46:46,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,returns,Clarified invoice and resent billing document.
T000085,C00203,O001474,chat,technical_issue,urgent,open,2026-02-25 08:22:28,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,technical_support,
T000086,C00231,O000936,web_form,delivery_issue,urgent,pending_customer,2025-02-13 22:41:22,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,
T000087,C00273,,email,technical_issue,high,resolved,2026-01-10 11:56:13,2026-01-11 00:56:13,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,returns,Issued refund after return inspection.
T000088,C00294,,chat,warranty,medium,closed,2026-01-25 10:21:10,2026-01-29 18:21:10,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,customer_care,Validated warranty and requested diagnostic evidence.
T000089,C00343,O000525,chat,delivery_issue,urgent,resolved,2025-08-06 23:19:16,2025-08-07 08:19:16,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,customer_care,Provided policy details and next steps.
T000090,C00144,,web_form,technical_issue,urgent,open,2025-04-28 14:46:49,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,logistics,
T000091,C00275,O001241,email,billing,urgent,open,2026-02-15 05:27:30,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,technical_support,
T000092,C00155,O000488,phone,refund,urgent,open,2026-03-27 17:57:40,,Refund request for recent order,Customer requests update on refund amount and processing time.,logistics,
T000093,C00307,O000975,chat,warranty,urgent,pending_customer,2025-06-08 08:50:52,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,returns,
T000094,C00072,O001387,phone,warranty,medium,new,2025-12-28 05:37:09,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,returns,
T000095,C00397,,email,technical_issue,low,resolved,2025-10-03 15:59:06,2025-10-06 14:59:06,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,returns,Clarified invoice and resent billing document.
T000096,C00223,,chat,return_request,high,resolved,2026-02-01 20:59:05,2026-02-04 06:59:05,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",billing,Provided policy details and next steps.
T000097,C00316,O001031,web_form,warranty,medium,new,2025-07-27 14:31:20,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,billing,
T000098,C00116,,phone,technical_issue,medium,resolved,2025-10-19 01:03:04,2025-10-20 15:03:04,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,technical_support,Validated warranty and requested diagnostic evidence.
T000099,C00032,O001478,web_form,product_question,urgent,resolved,2025-03-19 22:17:42,2025-03-23 21:17:42,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",logistics,Shared shipment update and opened carrier claim.
T000100,C00158,,web_form,delivery_issue,low,open,2025-11-30 10:21:35,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,billing,
T000101,C00006,O000023,chat,delivery_issue,urgent,open,2025-01-27 12:26:04,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,billing,
T000102,C00432,O001253,web_form,technical_issue,urgent,new,2026-01-05 22:01:00,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,returns,
T000103,C00164,O000734,chat,delivery_issue,urgent,closed,2025-01-31 01:26:20,2025-02-04 23:26:20,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,returns,Provided policy details and next steps.
T000104,C00447,O000077,web_form,refund,high,closed,2026-02-05 13:44:56,2026-02-10 11:44:56,Refund request for recent order,Customer requests update on refund amount and processing time.,customer_care,Provided policy details and next steps.
T000105,C00487,O001085,phone,refund,medium,pending_customer,2025-03-04 19:40:12,,Refund request for recent order,Customer requests update on refund amount and processing time.,returns,
T000106,C00444,O000653,phone,technical_issue,urgent,open,2025-04-22 13:50:50,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,billing,
T000107,C00050,O001098,phone,delivery_issue,high,open,2025-04-09 18:36:14,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,customer_care,
T000108,C00192,O000916,web_form,delivery_issue,medium,resolved,2026-03-21 03:18:56,2026-03-24 08:18:56,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,logistics,Provided policy details and next steps.
T000109,C00299,O000086,web_form,delivery_issue,low,resolved,2025-09-04 02:09:57,2025-09-06 13:09:57,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,billing,Issued refund after return inspection.
T000110,C00007,,chat,product_question,urgent,open,2025-02-20 14:46:24,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",customer_care,
T000111,C00437,O000085,email,technical_issue,low,resolved,2025-04-19 21:07:17,2025-04-22 19:07:17,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,technical_support,Shared shipment update and opened carrier claim.
T000112,C00308,O001087,chat,refund,low,resolved,2026-03-25 20:57:34,2026-03-30 05:57:34,Refund request for recent order,Customer requests update on refund amount and processing time.,billing,Validated warranty and requested diagnostic evidence.
T000113,C00299,O001189,web_form,delivery_issue,medium,pending_customer,2026-02-08 11:07:45,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,returns,
T000114,C00400,O001132,phone,product_question,low,closed,2025-07-02 04:39:15,2025-07-02 08:39:15,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",billing,Shared shipment update and opened carrier claim.
T000115,C00165,O000107,chat,refund,low,pending_customer,2025-02-06 18:23:05,,Refund request for recent order,Customer requests update on refund amount and processing time.,returns,
T000116,C00028,O001495,phone,refund,urgent,open,2025-11-14 05:00:59,,Refund request for recent order,Customer requests update on refund amount and processing time.,billing,
T000117,C00281,,phone,warranty,low,resolved,2026-03-05 10:58:51,2026-03-05 22:58:51,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,returns,Shared shipment update and opened carrier claim.
T000118,C00158,O001275,chat,product_question,urgent,closed,2025-11-29 08:03:32,2025-12-01 09:03:32,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",customer_care,Validated warranty and requested diagnostic evidence.
T000119,C00272,O000689,web_form,warranty,urgent,pending_customer,2025-08-26 17:14:40,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,logistics,
T000120,C00427,O000014,phone,delivery_issue,high,new,2025-02-06 17:41:24,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,
T000121,C00440,O001378,chat,return_request,high,open,2025-01-09 03:58:52,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",customer_care,
T000122,C00441,O000114,phone,billing,low,open,2025-10-19 06:02:08,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,billing,
T000123,C00437,O000764,web_form,product_question,urgent,new,2026-02-02 03:46:43,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",billing,
T000124,C00109,,web_form,billing,medium,pending_customer,2026-03-23 05:13:41,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,returns,
T000125,C00137,O000312,email,refund,medium,closed,2025-08-28 12:40:15,2025-08-31 06:40:15,Refund request for recent order,Customer requests update on refund amount and processing time.,billing,Shared shipment update and opened carrier claim.
T000126,C00476,,email,refund,low,resolved,2026-03-17 00:43:27,2026-03-21 01:43:27,Refund request for recent order,Customer requests update on refund amount and processing time.,customer_care,Shared shipment update and opened carrier claim.
T000127,C00255,O000632,chat,billing,high,pending_customer,2025-07-31 06:15:35,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,logistics,
T000128,C00417,O000101,chat,delivery_issue,urgent,new,2025-02-27 16:29:17,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,
T000129,C00231,O001296,email,return_request,medium,resolved,2025-07-02 04:24:08,2025-07-04 22:24:08,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",logistics,Provided policy details and next steps.
T000130,C00051,,phone,product_question,medium,closed,2026-02-22 06:54:18,2026-02-23 17:54:18,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",logistics,Issued refund after return inspection.
T000131,C00159,O000402,chat,product_question,urgent,closed,2025-01-11 03:30:30,2025-01-12 09:30:30,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",billing,Shared shipment update and opened carrier claim.
T000132,C00207,,web_form,return_request,urgent,open,2025-09-06 11:11:11,,Need help initiating a return,"Customer wants to know eligibility, label generation, and return steps.",returns,
T000133,C00021,O001466,phone,refund,high,resolved,2025-09-17 03:55:11,2025-09-20 05:55:11,Refund request for recent order,Customer requests update on refund amount and processing time.,logistics,Clarified invoice and resent billing document.
T000134,C00443,,email,refund,high,open,2025-10-17 07:17:39,,Refund request for recent order,Customer requests update on refund amount and processing time.,billing,
T000135,C00277,O001302,email,delivery_issue,urgent,resolved,2025-09-16 15:57:50,2025-09-19 05:57:50,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,technical_support,Clarified invoice and resent billing document.
T000136,C00145,,email,technical_issue,high,resolved,2025-03-24 19:40:15,2025-03-29 05:40:15,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,customer_care,Validated warranty and requested diagnostic evidence.
T000137,C00455,O001217,phone,warranty,high,pending_customer,2025-03-13 23:14:49,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,customer_care,
T000138,C00445,,phone,billing,urgent,new,2025-01-03 21:30:41,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,logistics,
T000139,C00284,O000643,phone,billing,medium,open,2026-02-21 13:53:53,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,technical_support,
T000140,C00218,O001238,phone,delivery_issue,low,pending_customer,2026-01-21 11:21:20,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,logistics,
T000141,C00473,O000272,chat,technical_issue,low,open,2025-08-07 16:53:51,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,technical_support,
T000142,C00498,O000635,email,delivery_issue,urgent,open,2025-11-30 05:54:02,,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,customer_care,
T000143,C00281,O000828,chat,warranty,high,open,2025-05-05 09:48:29,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,returns,
T000144,C00045,O000169,chat,refund,low,resolved,2025-06-10 11:58:40,2025-06-11 16:58:40,Refund request for recent order,Customer requests update on refund amount and processing time.,logistics,Validated warranty and requested diagnostic evidence.
T000145,C00485,O000010,chat,billing,urgent,open,2025-03-26 21:02:08,,Invoice or payment mismatch,Customer reports billing discrepancy or missing invoice details.,returns,
T000146,C00158,O001184,chat,warranty,urgent,pending_customer,2025-08-19 18:25:31,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,logistics,
T000147,C00248,O000156,web_form,technical_issue,medium,open,2025-03-27 15:05:15,,Device not working as expected,Customer reports malfunction after setup and requests troubleshooting guidance.,logistics,
T000148,C00342,,phone,warranty,medium,pending_customer,2025-09-22 23:01:59,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,customer_care,
T000149,C00349,O000624,email,delivery_issue,urgent,resolved,2025-09-01 23:02:57,2025-09-05 20:02:57,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,billing,Issued refund after return inspection.
T000150,C00100,O000311,web_form,warranty,low,new,2025-12-17 18:52:43,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,technical_support,
T000151,C00249,O000114,web_form,warranty,low,pending_customer,2025-12-08 04:55:30,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,returns,
T000152,C00169,O001037,email,delivery_issue,high,resolved,2025-07-23 22:08:30,2025-07-24 21:08:30,Package delayed or not delivered,Customer indicates tracking has not moved or estimated delivery is unclear.,billing,Validated warranty and requested diagnostic evidence.
T000153,C00149,O000265,web_form,warranty,medium,new,2025-04-08 21:32:32,,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,billing,
T000154,C00493,O000179,web_form,product_question,low,open,2025-02-21 18:52:12,,Question about product compatibility,"Customer needs clarification on specifications, accessories, or compatibility.",technical_support,
T000155,C00157,O000503,web_form,warranty,high,resolved,2025-04-02 02:42:05,2025-04-03 20:42:05,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,logistics,Provided policy details and next steps.
T000156,C00049,O001379,email,refund,urgent,resolved,2025-10-24 01:31:18,2025-10-27 11:31:18,Refund request for recent order,Customer requests update on refund amount and processing time.,billing,Provided policy details and next steps.
T000157,C00244,O001061,phone,warranty,low,closed,2025-06-27 00:22:08,2025-06-28 04:22:08,Warranty coverage question,Customer asks whether product issue is covered under warranty terms.,returns,Provided policy details and next steps.
